garage_id,specialization,proficiency_score,years_experience,certifications,equipment_quality,avg_customer_rating_for_this,jobs_completed_count,avg_turnaround_days,price_competitiveness
GAR001,body_work,0.407,1,1,basic,3.55,34,5.23,budget
GAR001,general_repair,0.478,3,0,basic,3.57,253,2.58,budget
GAR001,engine_repair,0.544,2,0,standard,4.0,84,7.12,budget
GAR001,transmission,0.451,3,1,basic,3.76,691,7.26,budget
GAR002,ac_repair,0.56,5,2,standard,4.33,205,3.31,competitive
GAR002,suspension,0.806,21,3,advanced,4.45,433,3.86,competitive
GAR002,electrical,0.502,6,0,basic,4.11,534,3.35,competitive
GAR002,transmission,0.927,26,1,advanced,4.79,1812,6.57,premium
GAR002,engine_repair,0.805,24,2,advanced,4.54,2260,6.76,competitive
GAR003,general_repair,0.87,18,1,standard,4.0,1340,2.43,competitive
GAR003,suspension,0.98,28,1,advanced,4.13,1965,3.79,premium
GAR004,body_work,0.98,21,1,advanced,4.09,1265,4.71,competitive
GAR005,suspension,0.454,1,2,basic,3.73,52,4.19,budget
GAR005,electrical,0.856,18,3,advanced,4.16,733,3.13,competitive
GAR005,transmission,0.552,2,1,basic,3.78,213,7.19,budget
GAR006,suspension,0.662,6,0,standard,4.28,399,4.05,competitive
GAR006,body_work,0.778,4,1,standard,4.36,711,4.94,competitive
GAR007,ac_repair,0.751,3,0,standard,3.81,95,3.21,budget
GAR007,brake_system,0.559,1,1,basic,3.58,42,3.34,budget
GAR008,paint_work,0.794,3,1,standard,3.9,149,4.97,competitive
GAR009,transmission,0.98,21,4,advanced,4.2,2249,6.61,premium
GAR010,paint_work,0.601,5,1,basic,4.25,160,5.12,budget
GAR010,suspension,0.793,18,0,standard,4.45,708,3.93,budget
GAR010,brake_system,0.67,13,1,standard,4.12,211,3.28,budget
GAR010,transmission,0.813,17,2,standard,4.66,991,6.85,budget
GAR011,general_repair,0.932,24,0,standard,4.33,1122,2.41,premium
GAR011,electrical,0.511,2,3,basic,3.76,43,3.42,budget
GAR011,body_work,0.98,29,3,advanced,4.34,1419,4.76,premium
GAR012,general_repair,0.738,15,1,standard,4.04,1615,2.51,competitive
GAR012,paint_work,0.98,24,3,advanced,4.59,2334,4.77,premium
GAR012,brake_system,0.719,15,1,standard,4.12,2863,3.28,competitive
GAR013,ac_repair,0.511,2,2,basic,4.05,159,3.35,budget
GAR013,electrical,0.536,8,1,basic,4.04,85,3.33,budget
GAR013,transmission,0.652,8,1,standard,4.22,437,7.01,budget
GAR013,paint_work,0.622,6,0,standard,4.27,147,5.04,budget
GAR013,brake_system,0.496,7,1,basic,3.81,281,3.36,budget
GAR014,transmission,0.701,7,2,standard,3.74,244,6.97,competitive
GAR014,body_work,0.98,27,0,advanced,4.15,5000,4.68,premium
GAR015,paint_work,0.401,1,1,basic,3.28,108,5.34,budget
GAR015,ac_repair,0.585,4,1,basic,3.66,128,3.34,budget
GAR015,suspension,0.455,5,0,basic,3.51,95,4.22,budget
GAR015,brake_system,0.631,7,1,basic,3.69,225,3.31,budget
GAR016,paint_work,0.98,22,4,advanced,4.59,4805,4.75,premium
GAR016,brake_system,0.925,16,1,standard,4.5,538,3.13,premium
GAR017,general_repair,0.527,7,1,basic,4.05,217,2.57,competitive
GAR017,ac_repair,0.811,17,3,advanced,4.24,1740,3.14,competitive
GAR017,suspension,0.594,7,1,standard,4.13,378,4.05,competitive
GAR017,engine_repair,0.787,18,4,standard,4.26,461,6.8,competitive
GAR018,transmission,0.739,8,2,standard,3.7,422,6.96,budget
GAR018,brake_system,0.53,5,1,basic,3.64,445,3.37,budget
GAR018,body_work,0.596,5,4,basic,3.9,534,5.12,budget
GAR019,electrical,0.709,5,0,standard,3.92,410,3.2,competitive
GAR019,transmission,0.771,5,2,standard,4.2,123,6.81,competitive
GAR020,suspension,0.847,28,2,standard,4.36,2594,3.92,budget
GAR020,body_work,0.797,22,0,standard,4.11,1253,4.96,budget
GAR020,paint_work,0.487,1,4,basic,3.55,46,5.29,budget
GAR020,general_repair,0.621,11,3,basic,3.98,695,2.57,budget
GAR020,brake_system,0.98,28,0,advanced,4.43,2864,3.1,competitive
GAR021,suspension,0.647,12,1,basic,3.93,1460,4.1,budget
GAR021,electrical,0.563,4,1,basic,3.71,117,3.39,budget
GAR021,general_repair,0.816,15,1,standard,4.1,763,2.48,competitive
GAR021,brake_system,0.702,15,3,basic,4.05,667,3.3,competitive
GAR021,engine_repair,0.569,9,2,basic,3.95,497,7.3,budget
GAR022,paint_work,0.698,10,2,standard,3.71,673,5.0,competitive
GAR022,suspension,0.416,2,3,basic,3.22,111,4.24,competitive
GAR022,electrical,0.653,15,0,standard,3.77,1342,3.28,competitive
GAR022,body_work,0.654,19,0,standard,3.78,712,5.04,competitive
