record_id,garage_id,date,day_of_week,total_bays,occupied_bays,available_bays,utilization_rate,pending_jobs_queue,avg_job_duration_days,estimated_next_available_slot_days,current_workload_level
CAP00001,GAR001,2024-11-20,Wednesday,2,1,1,0.5,0,3.95,0.0,moderate
CAP00002,GAR001,2024-11-21,Thursday,2,1,1,0.5,0,3.23,0.0,moderate
CAP00003,GAR001,2024-11-22,Friday,2,2,0,1.0,5,3.79,6.23,very_high
CAP00004,GAR001,2024-11-23,Saturday,2,2,0,1.0,3,3.83,4.69,very_high
CAP00005,GAR001,2024-11-24,Sunday,2,1,1,0.5,0,3.78,0.0,moderate
CAP00006,GAR001,2024-11-25,Monday,2,1,1,0.5,0,3.02,0.0,moderate
CAP00007,GAR001,2024-11-26,Tuesday,2,0,2,0.0,0,3.75,0.0,low
CAP00008,GAR001,2024-11-27,Wednesday,2,1,1,0.5,0,3.68,0.0,moderate
CAP00009,GAR001,2024-11-28,Thursday,2,2,0,1.0,7,3.84,10.0,very_high
CAP00010,GAR001,2024-11-29,Friday,2,2,0,1.0,14,4.1,10.0,very_high
CAP00011,GAR001,2024-11-30,Saturday,2,1,1,0.5,0,3.53,0.0,moderate
CAP00012,GAR001,2024-12-01,Sunday,2,0,2,0.0,0,3.45,0.0,low
CAP00013,GAR001,2024-12-02,Monday,2,2,0,1.0,9,3.83,10.0,very_high
CAP00014,GAR001,2024-12-03,Tuesday,2,1,1,0.5,0,2.9,0.0,moderate
CAP00015,GAR001,2024-12-04,Wednesday,2,1,1,0.5,0,3.81,0.0,moderate
CAP00016,GAR001,2024-12-05,Thursday,2,2,0,1.0,7,3.29,7.55,very_high
CAP00017,GAR001,2024-12-06,Friday,2,0,2,0.0,0,3.38,0.0,low
CAP00018,GAR001,2024-12-07,Saturday,2,2,0,1.0,9,3.01,9.84,very_high
CAP00019,GAR001,2024-12-08,Sunday,2,1,1,0.5,0,3.5,0.0,moderate
CAP00020,GAR001,2024-12-09,Monday,2,1,1,0.5,0,3.53,0.0,moderate
CAP00021,GAR001,2024-12-10,Tuesday,2,2,0,1.0,11,4.19,10.0,very_high
CAP00022,GAR001,2024-12-11,Wednesday,2,1,1,0.5,0,3.54,0.0,moderate
CAP00023,GAR001,2024-12-12,Thursday,2,0,2,0.0,0,3.1,0.0,low
CAP00024,GAR001,2024-12-13,Friday,2,1,1,0.5,0,3.37,0.0,moderate
CAP00025,GAR001,2024-12-14,Saturday,2,1,1,0.5,0,3.7,0.0,moderate
CAP00026,GAR001,2024-12-15,Sunday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00027,GAR001,2024-12-16,Monday,2,1,1,0.5,0,3.32,0.0,moderate
CAP00028,GAR001,2024-12-17,Tuesday,2,1,1,0.5,0,3.52,0.0,moderate
CAP00029,GAR001,2024-12-18,Wednesday,2,1,1,0.5,0,3.15,0.0,moderate
CAP00030,GAR001,2024-12-19,Thursday,2,1,1,0.5,0,4.27,0.0,moderate
CAP00031,GAR001,2024-12-20,Friday,2,2,0,1.0,10,4.19,10.0,very_high
CAP00032,GAR001,2024-12-21,Saturday,2,2,0,1.0,12,3.81,10.0,very_high
CAP00033,GAR001,2024-12-22,Sunday,2,1,1,0.5,0,4.01,0.0,moderate
CAP00034,GAR001,2024-12-23,Monday,2,1,1,0.5,0,3.85,0.0,moderate
CAP00035,GAR001,2024-12-24,Tuesday,2,1,1,0.5,0,3.93,0.0,moderate
CAP00036,GAR001,2024-12-25,Wednesday,2,2,0,1.0,7,3.24,9.56,very_high
CAP00037,GAR001,2024-12-26,Thursday,2,1,1,0.5,0,3.17,0.0,moderate
CAP00038,GAR001,2024-12-27,Friday,2,0,2,0.0,0,3.61,0.0,low
CAP00039,GAR001,2024-12-28,Saturday,2,1,1,0.5,0,3.99,0.0,moderate
CAP00040,GAR001,2024-12-29,Sunday,2,1,1,0.5,0,3.41,0.0,moderate
CAP00041,GAR001,2024-12-30,Monday,2,2,0,1.0,5,3.83,6.72,very_high
CAP00042,GAR001,2024-12-31,Tuesday,2,2,0,1.0,6,3.48,6.89,very_high
CAP00043,GAR001,2025-01-01,Wednesday,2,2,0,1.0,10,3.73,10.0,very_high
CAP00044,GAR001,2025-01-02,Thursday,2,1,1,0.5,0,3.92,0.0,moderate
CAP00045,GAR001,2025-01-03,Friday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00046,GAR001,2025-01-04,Saturday,2,2,0,1.0,6,3.61,8.27,very_high
CAP00047,GAR001,2025-01-05,Sunday,2,1,1,0.5,0,3.74,0.0,moderate
CAP00048,GAR001,2025-01-06,Monday,2,1,1,0.5,0,3.86,0.0,moderate
CAP00049,GAR001,2025-01-07,Tuesday,2,1,1,0.5,0,4.05,0.0,moderate
CAP00050,GAR001,2025-01-08,Wednesday,2,1,1,0.5,0,4.48,0.0,moderate
CAP00051,GAR001,2025-01-09,Thursday,2,2,0,1.0,5,4.16,7.66,very_high
CAP00052,GAR001,2025-01-10,Friday,2,0,2,0.0,0,3.31,0.0,low
CAP00053,GAR001,2025-01-11,Saturday,2,2,0,1.0,12,4.2,10.0,very_high
CAP00054,GAR001,2025-01-12,Sunday,2,0,2,0.0,0,3.04,0.0,low
CAP00055,GAR001,2025-01-13,Monday,2,1,1,0.5,0,3.72,0.0,moderate
CAP00056,GAR001,2025-01-14,Tuesday,2,1,1,0.5,0,3.89,0.0,moderate
CAP00057,GAR001,2025-01-15,Wednesday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00058,GAR001,2025-01-16,Thursday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00059,GAR001,2025-01-17,Friday,2,0,2,0.0,0,3.2,0.0,low
CAP00060,GAR001,2025-01-18,Saturday,2,1,1,0.5,0,4.15,0.0,moderate
CAP00061,GAR001,2025-01-19,Sunday,2,0,2,0.0,0,3.52,0.0,low
CAP00062,GAR001,2025-01-20,Monday,2,2,0,1.0,7,4.13,10.0,very_high
CAP00063,GAR001,2025-01-21,Tuesday,2,1,1,0.5,0,4.08,0.0,moderate
CAP00064,GAR001,2025-01-22,Wednesday,2,1,1,0.5,0,3.45,0.0,moderate
CAP00065,GAR001,2025-01-23,Thursday,2,0,2,0.0,0,3.14,0.0,low
CAP00066,GAR001,2025-01-24,Friday,2,1,1,0.5,0,3.51,0.0,moderate
CAP00067,GAR001,2025-01-25,Saturday,2,2,0,1.0,8,3.69,8.62,very_high
CAP00068,GAR001,2025-01-26,Sunday,2,1,1,0.5,0,3.76,0.0,moderate
CAP00069,GAR001,2025-01-27,Monday,2,2,0,1.0,5,3.07,4.89,very_high
CAP00070,GAR001,2025-01-28,Tuesday,2,2,0,1.0,10,3.72,10.0,very_high
CAP00071,GAR001,2025-01-29,Wednesday,2,1,1,0.5,0,3.35,0.0,moderate
CAP00072,GAR001,2025-01-30,Thursday,2,1,1,0.5,0,3.82,0.0,moderate
CAP00073,GAR001,2025-01-31,Friday,2,1,1,0.5,0,3.37,0.0,moderate
CAP00074,GAR001,2025-02-01,Saturday,2,1,1,0.5,0,3.07,0.0,moderate
CAP00075,GAR001,2025-02-02,Sunday,2,2,0,1.0,7,3.45,10.0,very_high
CAP00076,GAR001,2025-02-03,Monday,2,2,0,1.0,6,4.35,9.15,very_high
CAP00077,GAR001,2025-02-04,Tuesday,2,0,2,0.0,0,4.06,0.0,low
CAP00078,GAR001,2025-02-05,Wednesday,2,1,1,0.5,0,3.69,0.0,moderate
CAP00079,GAR001,2025-02-06,Thursday,2,0,2,0.0,0,3.76,0.0,low
CAP00080,GAR001,2025-02-07,Friday,2,1,1,0.5,0,3.21,0.0,moderate
CAP00081,GAR001,2025-02-08,Saturday,2,1,1,0.5,0,2.9,0.0,moderate
CAP00082,GAR001,2025-02-09,Sunday,2,2,0,1.0,14,4.12,10.0,very_high
CAP00083,GAR001,2025-02-10,Monday,2,1,1,0.5,0,2.79,0.0,moderate
CAP00084,GAR001,2025-02-11,Tuesday,2,2,0,1.0,11,3.71,10.0,very_high
CAP00085,GAR001,2025-02-12,Wednesday,2,1,1,0.5,0,3.51,0.0,moderate
CAP00086,GAR001,2025-02-13,Thursday,2,2,0,1.0,6,3.1,5.64,very_high
CAP00087,GAR001,2025-02-14,Friday,2,1,1,0.5,0,4.75,0.0,moderate
CAP00088,GAR001,2025-02-15,Saturday,2,1,1,0.5,0,3.28,0.0,moderate
CAP00089,GAR001,2025-02-16,Sunday,2,1,1,0.5,0,3.71,0.0,moderate
CAP00090,GAR001,2025-02-17,Monday,2,0,2,0.0,0,3.44,0.0,low
CAP00091,GAR001,2025-02-18,Tuesday,2,0,2,0.0,0,3.46,0.0,low
CAP00092,GAR001,2025-02-19,Wednesday,2,0,2,0.0,0,3.12,0.0,low
CAP00093,GAR001,2025-02-20,Thursday,2,0,2,0.0,0,2.93,0.0,low
CAP00094,GAR001,2025-02-21,Friday,2,2,0,1.0,5,3.84,7.91,very_high
CAP00095,GAR001,2025-02-22,Saturday,2,1,1,0.5,0,4.03,0.0,moderate
CAP00096,GAR001,2025-02-23,Sunday,2,0,2,0.0,0,3.8,0.0,low
CAP00097,GAR001,2025-02-24,Monday,2,1,1,0.5,0,4.22,0.0,moderate
CAP00098,GAR001,2025-02-25,Tuesday,2,2,0,1.0,4,3.89,6.0,very_high
CAP00099,GAR001,2025-02-26,Wednesday,2,2,0,1.0,10,4.5,10.0,very_high
CAP00100,GAR001,2025-02-27,Thursday,2,1,1,0.5,0,3.42,0.0,moderate
CAP00101,GAR001,2025-02-28,Friday,2,0,2,0.0,0,3.59,0.0,low
CAP00102,GAR001,2025-03-01,Saturday,2,1,1,0.5,0,3.06,0.0,moderate
CAP00103,GAR001,2025-03-02,Sunday,2,0,2,0.0,0,3.37,0.0,low
CAP00104,GAR001,2025-03-03,Monday,2,0,2,0.0,0,3.25,0.0,low
CAP00105,GAR001,2025-03-04,Tuesday,2,2,0,1.0,8,3.78,7.68,very_high
CAP00106,GAR001,2025-03-05,Wednesday,2,1,1,0.5,0,4.0,0.0,moderate
CAP00107,GAR001,2025-03-06,Thursday,2,1,1,0.5,0,3.43,0.0,moderate
CAP00108,GAR001,2025-03-07,Friday,2,2,0,1.0,13,3.77,10.0,very_high
CAP00109,GAR001,2025-03-08,Saturday,2,0,2,0.0,0,3.33,0.0,low
CAP00110,GAR001,2025-03-09,Sunday,2,2,0,1.0,9,4.02,10.0,very_high
CAP00111,GAR001,2025-03-10,Monday,2,2,0,1.0,7,3.49,8.85,very_high
CAP00112,GAR001,2025-03-11,Tuesday,2,0,2,0.0,0,3.02,0.0,low
CAP00113,GAR001,2025-03-12,Wednesday,2,1,1,0.5,0,3.85,0.0,moderate
CAP00114,GAR001,2025-03-13,Thursday,2,2,0,1.0,2,4.22,3.4,very_high
CAP00115,GAR001,2025-03-14,Friday,2,0,2,0.0,0,3.71,0.0,low
CAP00116,GAR001,2025-03-15,Saturday,2,1,1,0.5,0,3.86,0.0,moderate
CAP00117,GAR001,2025-03-16,Sunday,2,1,1,0.5,0,3.63,0.0,moderate
CAP00118,GAR001,2025-03-17,Monday,2,0,2,0.0,0,4.1,0.0,low
CAP00119,GAR001,2025-03-18,Tuesday,2,1,1,0.5,0,4.34,0.0,moderate
