repair_id,garage_id,user_id,damage_type,damage_location,repair_category,user_location_lat,user_location_lon,distance_to_garage,vehicle_make,vehicle_year,final_cost,estimated_cost,completion_days,user_satisfied,satisfaction_score,would_recommend,repair_date,parts_replaced,insurance_claimed
REP0001,GAR035,USER027,minor,windshield,glass_repair,7.00642,79.749395,18.34,Honda,2015,20122,16202,1,1,0.516,0,2023-12-08,headlight,1
REP0002,GAR081,USER224,moderate,windshield,glass_repair,6.88704,79.898128,11.25,Mercedes,2016,64837,56992,3,1,0.657,1,2024-05-03,"front_bumper,trunk_lid",0
REP0003,GAR027,USER176,moderate,headlight,electrical,6.653909,79.955825,15.63,Suzuki,2020,75239,65979,6,1,0.815,1,2024-07-05,"ac_condenser,paint,side_mirror",0
REP0004,GAR041,USER249,moderate,windshield,glass_repair,6.790427,79.845629,3.58,Toyota,2016,98844,115233,4,1,0.542,0,2024-07-21,"radiator,rear_bumper",0
REP0005,GAR019,USER294,moderate,front_bumper,body_work,6.88212,79.91778,5.95,Toyota,2019,97965,83584,3,1,0.585,0,2024-05-21,"radiator,tail_light,windshield",0
REP0006,GAR033,USER091,minor,side_mirror,body_work,6.972764,79.923546,17.37,Toyota,2020,30318,25322,2,0,0.498,0,2024-09-24,windshield,0
REP0007,GAR006,USER046,minor,front_bumper,paint_work,6.674993,79.952913,12.31,Suzuki,2014,28350,25389,1,1,0.759,1,2023-12-09,"fender,front_bumper",0
REP0008,GAR091,USER084,severe,windshield,glass_repair,6.8976,79.995552,18.68,Suzuki,2017,459058,533771,12,1,0.62,0,2023-10-26,"fender,grill,headlight,radiator,windshield",1
REP0009,GAR050,USER086,severe,windshield,glass_repair,6.628597,79.899764,17.25,Toyota,2021,318939,373801,15,0,0.446,0,2023-01-29,"fender,grill,windshield",1
REP0010,GAR029,USER071,minor,rear_bumper,paint_work,6.900582,79.73933,12.17,Honda,2013,31261,35023,1,1,0.576,0,2024-05-27,tail_light,0
REP0011,GAR098,USER389,severe,front_bumper,body_work,6.99629,79.87103,15.05,Honda,2023,181875,216965,12,1,0.672,0,2024-05-19,"ac_condenser,door_panel,front_bumper,side_mirror,trunk_lid",1
REP0012,GAR052,USER115,severe,side_door,paint_work,6.785054,79.836799,1.55,Nissan,2023,433477,372124,5,1,0.815,1,2024-04-16,"fender,hood,paint,radiator",1
REP0013,GAR097,USER230,minor,hood,engine_repair,6.90006,79.832116,8.52,Toyota,2011,25843,30571,1,1,0.77,1,2024-01-21,"door_panel,rear_bumper",1
REP0014,GAR001,USER136,moderate,trunk,body_work,6.612173,79.797448,12.36,Toyota,2015,82264,96301,4,1,0.527,0,2023-09-30,"grill,side_mirror",1
REP0015,GAR041,USER354,moderate,fender,body_work,6.818012,79.906035,4.42,Honda,2018,83709,71447,6,0,0.627,1,2024-01-14,side_mirror,0
REP0016,GAR007,USER238,moderate,fender,paint_work,7.153238,79.990344,19.02,Suzuki,2016,46606,55329,5,1,0.709,1,2024-03-02,"front_bumper,hood",0
REP0017,GAR058,USER255,moderate,hood,body_work,6.780793,79.810448,14.51,Mercedes,2023,77822,68994,6,1,0.541,0,2024-06-24,rear_bumper,0
REP0018,GAR090,USER280,moderate,hood,paint_work,6.6203,79.799902,19.24,Honda,2020,75686,61004,6,0,0.596,0,2024-03-22,"fender,headlight,trunk_lid",1
REP0019,GAR005,USER109,severe,front_bumper,body_work,6.768423,80.01394,9.14,Toyota,2021,310689,249482,8,0,0.657,0,2024-03-22,"ac_condenser,door_panel,headlight,rear_bumper",0
REP0020,GAR017,USER167,minor,front_bumper,paint_work,6.585959,79.870905,17.76,Honda,2017,34127,38873,1,1,0.722,1,2024-05-23,door_panel,1
REP0021,GAR009,USER375,moderate,rear_bumper,body_work,6.893656,79.905452,13.59,Nissan,2014,61315,69216,4,1,0.831,1,2023-02-18,windshield,0
REP0022,GAR024,USER386,minor,trunk,paint_work,6.83331,80.086884,17.7,Honda,2016,17538,19539,1,1,0.714,1,2023-03-30,"front_bumper,rear_bumper",1
REP0023,GAR061,USER235,moderate,hood,paint_work,7.014053,80.003329,4.89,Honda,2011,39605,44987,4,0,0.599,0,2023-08-29,"fender,paint",1
REP0024,GAR075,USER346,minor,trunk,paint_work,6.761392,79.994066,11.78,Toyota,2019,28078,23163,1,1,0.638,0,2024-09-11,"hood,windshield",0
REP0025,GAR012,USER321,minor,windshield,general_repair,6.656403,80.00908,15.55,Suzuki,2024,19054,16689,3,1,0.772,1,2024-01-23,side_mirror,0
REP0026,GAR070,USER054,moderate,side_mirror,electrical,7.119277,79.928485,15.96,Toyota,2015,77249,87162,7,0,0.682,1,2023-01-28,"front_bumper,radiator",0
REP0027,GAR043,USER321,moderate,trunk,body_work,6.78651,79.910581,7.4,Toyota,2019,66169,75175,4,1,0.835,1,2023-09-16,"rear_bumper,side_mirror",1
REP0028,GAR055,USER284,severe,side_mirror,electrical,6.918886,79.991929,19.18,Suzuki,2012,410617,464343,8,1,0.538,0,2023-04-26,"ac_condenser,trunk_lid",0
REP0029,GAR016,USER184,severe,side_door,general_repair,7.024689,79.810979,7.29,Toyota,2015,421468,469079,6,1,0.731,1,2023-10-01,"ac_condenser,door_panel,headlight,hood,rear_bumper",0
REP0030,GAR005,USER063,moderate,windshield,glass_repair,6.817034,79.929431,4.64,Suzuki,2015,101408,86677,5,0,0.619,0,2023-11-12,"hood,tail_light",1
REP0031,GAR021,USER024,moderate,side_door,body_work,6.877673,79.954679,4.36,Mazda,2017,81490,92904,6,0,0.594,0,2024-01-09,grill,0
REP0032,GAR006,USER046,severe,fender,paint_work,6.861152,80.003463,9.14,Mazda,2019,424052,468610,11,0,0.696,0,2023-12-08,"grill,hood,paint",0
REP0033,GAR024,USER337,moderate,rear_bumper,body_work,6.812751,79.865754,7.82,Toyota,2021,71002,80692,6,0,0.695,1,2023-07-08,"grill,paint,windshield",1
REP0034,GAR051,USER002,severe,side_door,paint_work,6.656202,79.724191,15.48,Toyota,2018,420278,369783,13,1,0.618,1,2024-04-21,"door_panel,paint,radiator,windshield",0
REP0035,GAR089,USER301,moderate,trunk,body_work,6.758201,79.933341,3.99,Toyota,2017,98004,114305,3,1,0.721,0,2024-09-24,tail_light,0
REP0036,GAR048,USER070,moderate,rear_bumper,paint_work,6.766429,79.945368,14.0,Toyota,2014,89819,101812,7,1,0.646,1,2024-10-26,"fender,paint",0
REP0037,GAR048,USER121,minor,front_bumper,paint_work,6.984775,80.085914,16.89,Mitsubishi,2011,21315,23803,3,1,0.636,0,2024-07-25,windshield,0
REP0038,GAR013,USER094,moderate,headlight,body_work,6.902243,79.898523,1.45,Honda,2014,69512,78026,6,0,0.659,0,2024-02-10,"front_bumper,paint",0
REP0039,GAR100,USER214,moderate,trunk,body_work,6.893077,79.947063,2.41,Mitsubishi,2010,98415,117809,7,0,0.531,0,2024-05-02,"ac_condenser,radiator,side_mirror",1
REP0040,GAR004,USER120,minor,side_door,paint_work,6.940883,79.742509,9.01,Honda,2015,21508,19242,1,1,0.662,0,2024-07-11,"paint,rear_bumper",0
REP0041,GAR003,USER025,minor,side_door,general_repair,6.969168,79.86891,2.01,Honda,2020,30621,25073,2,1,0.517,0,2024-02-29,"hood,rear_bumper",1
REP0042,GAR050,USER261,severe,rear_bumper,body_work,6.816586,79.89338,6.0,Toyota,2020,238129,209985,15,1,0.705,0,2024-03-23,"ac_condenser,front_bumper,hood,radiator,rear_bumper",0
REP0043,GAR072,USER260,minor,trunk,body_work,6.734787,79.908787,5.03,Toyota,2011,26332,29053,1,0,0.534,0,2023-11-20,"fender,headlight",0
REP0044,GAR076,USER185,minor,front_bumper,paint_work,6.850731,80.019569,18.34,Toyota,2022,18566,15432,1,1,0.56,0,2024-05-08,"paint,trunk_lid",0
REP0045,GAR058,USER139,moderate,fender,body_work,6.658966,79.965535,12.57,Toyota,2013,79449,90435,7,1,0.608,1,2023-02-28,radiator,0
REP0046,GAR050,USER261,moderate,hood,engine_repair,6.702749,79.846291,8.38,Mercedes,2016,80006,88670,6,1,0.704,1,2024-01-13,"paint,radiator",0
REP0047,GAR100,USER087,minor,side_door,body_work,6.812726,80.110071,19.7,Toyota,2011,33450,38847,1,1,0.6,0,2024-08-25,ac_condenser,0
REP0048,GAR034,USER394,minor,headlight,electrical,6.727308,80.01977,7.98,Suzuki,2021,21661,17856,2,1,0.465,1,2024-04-17,"headlight,rear_bumper",0
REP0049,GAR002,USER269,minor,hood,paint_work,6.945339,80.009201,12.9,Suzuki,2014,30050,34804,1,1,0.773,1,2024-05-14,"grill,hood",0
REP0050,GAR038,USER082,severe,side_door,body_work,6.921038,79.834896,10.96,Honda,2005,252176,295106,8,1,0.533,0,2023-06-22,"radiator,rear_bumper,trunk_lid",1
REP0051,GAR047,USER322,minor,front_bumper,body_work,7.136072,79.88518,17.54,Honda,2014,19945,23521,2,0,0.455,0,2023-03-21,"door_panel,windshield",0
REP0052,GAR038,USER121,moderate,hood,body_work,7.095505,80.005015,16.9,Nissan,2024,106180,89881,7,1,0.618,1,2023-04-09,"front_bumper,paint",1
REP0053,GAR024,USER172,minor,headlight,general_repair,6.728382,79.934599,6.83,Mitsubishi,2024,16709,14996,3,1,0.729,1,2024-08-10,rear_bumper,1
REP0054,GAR002,USER366,minor,headlight,electrical,6.884877,79.982543,7.77,Suzuki,2010,31988,37605,2,1,0.769,1,2024-03-14,"headlight,hood",0
REP0055,GAR038,USER294,minor,windshield,glass_repair,6.89915,79.824909,13.18,Suzuki,2014,22811,19786,1,1,0.673,1,2024-03-31,"front_bumper,radiator",0
REP0056,GAR049,USER173,moderate,front_bumper,body_work,6.979452,79.730024,10.21,Toyota,2010,44297,52771,4,1,0.678,1,2023-10-11,"trunk_lid,windshield",1
REP0057,GAR022,USER289,moderate,trunk,paint_work,6.768686,79.829533,5.49,Honda,2016,108072,128698,4,1,0.614,0,2024-07-10,"front_bumper,side_mirror,trunk_lid",1
REP0058,GAR008,USER076,moderate,windshield,glass_repair,7.000468,79.905445,14.41,Mazda,2011,99688,113380,4,0,0.631,1,2023-03-09,windshield,0
REP0059,GAR066,USER246,moderate,headlight,electrical,6.744099,80.001426,19.35,Honda,2020,89849,77470,4,1,0.616,0,2023-07-18,"ac_condenser,door_panel,grill",0
REP0060,GAR029,USER147,minor,windshield,glass_repair,6.894078,79.849712,9.96,Honda,2016,30791,26533,1,0,0.535,0,2023-01-22,"ac_condenser,side_mirror",0
REP0061,GAR028,USER022,moderate,windshield,general_repair,6.893614,79.982655,17.62,Toyota,2016,107601,128771,5,1,0.774,1,2024-08-25,"door_panel,side_mirror,tail_light",1
REP0062,GAR004,USER247,moderate,fender,general_repair,6.851351,79.808341,13.96,Honda,2016,58320,67919,4,0,0.41,0,2024-11-13,"hood,paint",0
REP0063,GAR054,USER109,minor,front_bumper,body_work,6.92593,79.877227,9.57,Toyota,2017,14455,12406,2,1,0.654,1,2023-01-06,radiator,0
REP0064,GAR041,USER304,severe,hood,general_repair,6.792479,80.026287,16.38,Mazda,2018,295089,247628,13,0,0.61,1,2023-11-15,"ac_condenser,headlight,hood,radiator,side_mirror",1
REP0065,GAR016,USER184,moderate,front_bumper,body_work,6.894251,79.911521,13.25,Honda,2017,97046,82467,7,0,0.66,1,2023-03-06,radiator,0
REP0066,GAR053,USER068,minor,hood,engine_repair,6.78579,79.73084,9.86,Honda,2020,10652,12226,3,1,0.768,1,2023-06-18,"radiator,trunk_lid",0
REP0067,GAR061,USER344,moderate,rear_bumper,body_work,6.923067,79.863037,13.61,Honda,2012,79374,88444,6,1,0.527,0,2023-08-25,"ac_condenser,headlight,tail_light",1
REP0068,GAR091,USER044,severe,fender,paint_work,6.798674,79.962829,11.09,Toyota,2014,381139,456247,5,0,0.698,1,2023-03-06,"ac_condenser,paint,rear_bumper,windshield",0
REP0069,GAR043,USER265,minor,trunk,general_repair,6.911239,79.842382,19.16,Toyota,2014,26208,23017,1,0,0.63,1,2024-04-29,"tail_light,windshield",0
REP0070,GAR061,USER272,moderate,front_bumper,general_repair,7.032613,80.115259,17.06,Honda,2015,81131,70572,7,1,0.669,0,2024-10-18,"door_panel,grill,rear_bumper",0
REP0071,GAR096,USER229,minor,rear_bumper,body_work,6.79279,80.002143,14.19,Suzuki,2014,32214,26167,2,1,0.684,0,2024-09-28,"radiator,windshield",0
REP0072,GAR058,USER167,moderate,fender,body_work,6.802627,79.784892,17.67,Honda,2011,38669,34283,6,1,0.694,0,2023-11-13,"ac_condenser,windshield",0
REP0073,GAR067,USER361,severe,side_mirror,body_work,6.84168,79.723165,17.16,Toyota,2018,370257,329012,7,0,0.594,0,2024-04-17,"door_panel,grill",1
REP0074,GAR091,USER127,minor,fender,body_work,6.754477,79.768511,11.26,Toyota,2014,30964,35815,1,1,0.705,1,2024-02-07,"ac_condenser,hood",0
REP0075,GAR079,USER018,minor,hood,body_work,6.813645,79.977933,16.4,Toyota,2015,13922,16027,3,0,0.415,0,2023-10-18,hood,0
REP0076,GAR048,USER121,moderate,headlight,body_work,6.87478,79.965363,1.77,Toyota,2022,93982,76793,5,1,0.666,0,2023-02-27,"grill,tail_light,trunk_lid",1
REP0077,GAR008,USER021,minor,side_door,general_repair,6.939836,79.773986,13.03,Suzuki,2022,33600,29451,1,1,0.635,1,2023-05-06,headlight,0
REP0078,GAR003,USER284,severe,side_mirror,general_repair,6.997652,79.8573,1.61,Toyota,2012,428186,511555,13,1,0.618,1,2024-03-07,"door_panel,front_bumper,radiator,rear_bumper,side_mirror",1
REP0079,GAR100,USER326,minor,trunk,paint_work,6.738688,79.911127,15.21,Toyota,2016,38841,44666,2,1,0.66,1,2024-07-04,"door_panel,radiator",0
REP0080,GAR020,USER058,moderate,headlight,body_work,7.005371,79.791889,18.79,Honda,2014,71828,61054,6,1,0.708,1,2024-09-03,"tail_light,trunk_lid",1
REP0081,GAR059,USER196,minor,side_mirror,body_work,6.707213,79.74201,11.78,Toyota,2016,22621,26334,3,1,0.729,0,2023-07-26,door_panel,0
REP0082,GAR054,USER387,moderate,side_door,paint_work,6.854011,79.934759,1.43,Honda,2014,39175,32876,7,0,0.48,0,2024-04-23,"headlight,hood",0
REP0083,GAR018,USER398,minor,rear_bumper,general_repair,6.749395,79.955543,16.42,Mercedes,2013,10968,12071,2,0,0.613,0,2023-04-14,door_panel,0
REP0084,GAR004,USER302,moderate,side_door,body_work,6.903465,79.826548,8.23,Mazda,2014,37011,31050,3,1,0.644,1,2023-03-29,"rear_bumper,windshield",1
REP0085,GAR051,USER273,severe,side_mirror,body_work,6.845288,79.878412,13.58,Toyota,2013,414435,467168,7,1,0.555,0,2023-08-09,"door_panel,front_bumper,headlight,hood,tail_light",1
