repair_id,garage_id,user_id,calculated_distance_km,distance_score,is_nearby,is_very_close,specialization_match_score,historical_satisfaction_rate,total_repairs,avg_historical_cost,avg_completion_time,cost_reliability,time_reliability,overall_preference_score,distance_preference_match,price_preference_match,rating_preference_match,availability_score,current_utilization,avg_hourly_rate,price_competitiveness,cost_accuracy,avg_rating,num_reviews,years_in_business,certified,user_satisfied,satisfaction_score,would_recommend,final_cost,completion_days
REP0001,GAR035,USER027,18.344953376306812,0.05169306849944511,0,0,0.8,0.625,8,23076.125,2.625,0.4412019421950666,0.3849129802849238,0.3333333333333333,0,1,0,1.0,0.0,2506,1.3741021548284118,0.7580545611652882,3.64,15,1,0,1,0.516,0,20122,1
REP0002,GAR081,USER224,11.252959989440695,0.08161293278210129,0,0,0.3,0.5,4,101927.0,6.0,0.09358342802311401,0.14890977052086576,0.3333333333333333,0,1,0,0.0,1.0,2697,1.2767890248424174,0.8623491016282987,3.88,26,30,1,1,0.657,1,64837,3
REP0003,GAR027,USER176,15.63390415351708,0.060118177354566496,0,0,1.0,0.75,16,122500.125,4.625,0.06849819434535931,0.1968333004869414,0.3333333333333333,0,0,1,0.8,0.2,2904,1.1857782369146006,0.8596523136149381,4.45,153,4,1,1,0.815,1,75239,6
REP0004,GAR041,USER249,3.5751424935777747,0.21857242728586518,1,0,0.8,0.7692307692307693,13,108443.92307692308,5.461538461538462,0.09462280967985631,0.23638069205339082,0.6666666666666666,1,0,1,1.0,0.0,3752,0.9177771855010661,0.857775116503085,3.86,15,14,1,1,0.542,0,98844,4
REP0005,GAR019,USER294,5.948795204236895,0.14390983913157623,0,0,0.3,0.8666666666666667,15,194796.66666666666,6.133333333333334,0.05346070332166303,0.17532800504040771,0.3333333333333333,0,1,0,0.7142857142857143,0.2857142857142857,3800,0.9061842105263158,0.8279455398162328,4.1,50,7,1,1,0.585,0,97965,3
REP0006,GAR033,USER091,17.36983976650082,0.05443705621339151,0,0,0.3,0.45454545454545453,11,160421.81818181818,5.454545454545454,0.056378056861453765,0.19394702683044607,0.6666666666666666,0,1,1,0.0,1.0,4904,0.7021818923327896,0.8027012084353526,3.91,45,22,0,0,0.498,0,30318,2
REP0007,GAR006,USER046,12.309272742291034,0.07513558549464829,0,0,0.8,0.6363636363636364,11,228740.72727272726,6.090909090909091,0.045374131532594966,0.16424916464235856,0.3333333333333333,0,1,0,0.14285714285714285,0.8571428571428571,4792,0.718593489148581,0.8833746898263027,4.2,15,8,0,1,0.759,1,28350,1
REP0008,GAR091,USER084,18.683299184817567,0.05080449118871981,0,0,0.3,0.8888888888888888,9,190512.33333333334,5.0,0.05674736032349002,0.21712927295533244,0.6666666666666666,1,0,1,1.0,0.0,5118,0.672821414615084,0.860027989531091,4.06,34,3,1,1,0.62,0,459058,12
REP0009,GAR050,USER086,17.250973714617377,0.0547915971847075,0,0,0.8,0.7,10,176583.3,8.5,0.07515839349575335,0.14548268842493628,0.3333333333333333,0,0,1,0.875,0.125,3950,0.8717721518987341,0.853232067329943,4.03,50,16,1,0,0.446,0,318939,15
REP0010,GAR029,USER071,12.170019192696198,0.07593003361411788,0,0,0.3,0.6,10,98671.5,3.6,0.08880008868471166,0.1924840598000365,0.6666666666666666,1,1,0,0.25,0.75,4266,0.8071964369432724,0.8925848727978757,3.88,22,10,0,1,0.576,0,31261,1
